recommendation_id
recommendation_set_id
set_size
source_document_id
recommended_document_id
request_received
response_delivered
clicked
algorithm_id
algorithm_class
cbf-document_field
cbf-feature_type
cbf-key-phrase_count
cbf-input_entity
cbf-ngram_type
cbf-search_mode
text_relevance_score
popularity_metric
stereotype_category
request_type
language_title_detected
language_abstract_detected
recommendation_candidates
requested_number_of_recommendations
client_name
client_version
client_language
restrict_to_same_language_recs
recsys_operator
processing_time
set_shuffled
rank_before_shuffling
final_rank_delivered
